,task_id,task_description,deadline,priority,assigned_user,user_workload,past_task_behavior,category,status,time_taken_(hours),deadline_days_remaining,task_length,has_keyword_urgent,is_weekend_deadline,category_encoded,status_encoded,priority_encoded,is_completed,user_current_load,past_behavior_score,workload,deadline_days,task_description_clean
0,synthetic_87737,Setup monitoring for production servers.,2025-08-07,Urgent,user8,2.0,On Time,DevOps,To Do,0.9242036042438097,0.2363636363636363,0.6666666666666665,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,1.0,0.5221560846560847,13,setup monitoring production server
1,T0242,Restore database from backup,2025-08-27,High,User_6,5.0,Delayed,Development,Completed,0.7416666666666667,0.6,0.3333333333333332,0,0,2.0,0.0,0.0,1.0,0.6666666666666667,0.3,0.4649470899470899,33,restore database backup
2,synthetic_57303,Implement search functionality.,2025-08-17,Urgent,user1,6.0,Needs Improvement,Development,To Do,0.6712136395812296,0.4181818181818181,0.0,0,1,2.0,1.0,1.0,0.0,0.4166666666666667,0.3,0.5221560846560847,23,implement search functionality
3,synthetic_27262,Update color palette and typography.,2025-08-16,Urgent,user2,7.0,On Time,Design,To Do,0.407940800046712,0.3999999999999999,0.6666666666666665,0,1,2.0,1.0,1.0,0.0,0.4166666666666667,1.0,0.5221560846560847,22,update color palette typography
4,synthetic_33340,Write API reference documentation.,2025-07-28,Medium,user9,3.0,Late,Documentation,To Do,0.481451903169581,0.0545454545454545,0.3333333333333332,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.5,0.5221560846560847,3,write api reference documentation
5,synthetic_67902,Redesign profile section layout.,2025-08-05,Urgent,user3,1.0,Late,Design,To Do,0.6462403371581709,0.1999999999999999,0.3333333333333332,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.5,0.5221560846560847,11,redesign profile section layout
6,T0203,Resolve payment gateway timeout issue,2025-09-10,High,User_8,2.0,Late,Design,Completed,0.7583333333333333,0.8545454545454545,0.6666666666666665,0,0,0.0,0.0,0.0,1.0,0.1666666666666667,0.5,0.5482804232804233,47,resolve payment gateway timeout issue
7,T0262,Patch security vulnerability in auth system,2025-07-29,High,User_9,8.0,Late,DevOps,In Progress,0.0,0.0727272727272727,1.0,0,0,1.0,1.0,0.0,0.0,0.3333333333333332,0.5,0.6375661375661378,4,patch security vulnerability auth system
8,T0266,Patch security vulnerability in auth system,2025-09-06,High,User_6,5.0,Delayed,Design,Completed,0.4333333333333333,0.7818181818181817,1.0,0,1,0.0,0.0,0.0,1.0,0.6666666666666667,0.3,0.7546296296296297,43,patch security vulnerability auth system
9,T0213,Resolve payment gateway timeout issue,2025-08-23,High,User_3,8.0,Delayed,Testing,Completed,0.9416666666666668,0.5272727272727272,0.6666666666666665,0,1,5.0,0.0,0.0,1.0,0.0,0.3,0.6712962962962964,29,resolve payment gateway timeout issue
10,T0176,Write integration tests for API,2025-08-09,Medium,User_5,10.0,On Time,Management,Pending,0.0,0.2727272727272727,0.6666666666666665,0,1,4.0,2.0,2.0,0.0,0.5833333333333333,1.0,0.6646825396825394,15,write integration test api
11,T0137,Refactor module for scalability,2025-09-08,Medium,User_6,8.0,On Time,Design,Pending,0.0,0.8181818181818181,0.3333333333333332,0,0,0.0,2.0,2.0,0.0,0.6666666666666667,1.0,0.6514550264550265,45,refactor module scalability
12,synthetic_28727,Create wireframes for onboarding screens.,2025-08-12,Urgent,user7,5.0,Needs Improvement,Design,To Do,0.9394346504921948,0.3272727272727272,0.6666666666666665,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.3,0.5221560846560847,18,create wireframes onboarding screen
13,synthetic_51187,Write unit tests for payment module.,2025-08-11,Medium,user10,9.0,Excellent,Testing,To Do,0.3568086551667063,0.3090909090909091,1.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,1.2,0.5221560846560847,17,write unit test payment module
14,synthetic_32669,Fix bugs in profile update API.,2025-07-24,Urgent,user4,1.0,Needs Improvement,Development,To Do,0.923141648261301,0.0,1.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.3,0.5221560846560847,0,fix bug profile update api
15,T0080,Update internal documentation,2025-08-19,Low,User_7,8.0,On Time,Management,Pending,0.0,0.4545454545454545,0.0,0,0,4.0,2.0,1.0,0.0,0.5833333333333333,1.0,0.4173280423280423,25,update internal documentation
16,T0018,Organize shared team files,2025-09-17,Low,User_10,10.0,On Time,Management,Completed,0.1999999999999999,0.9818181818181818,0.3333333333333332,0,0,4.0,0.0,1.0,1.0,0.3333333333333332,1.0,0.7817460317460317,54,organize shared team file
17,synthetic_21579,Plan sprint retrospective.,2025-08-19,Medium,user8,9.0,On Time,Management,To Do,0.7653183720721186,0.4545454545454545,0.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,1.0,0.5221560846560847,25,plan sprint retrospective
18,T0195,Refactor module for scalability,2025-08-26,Medium,User_7,9.0,Late,DevOps,Completed,0.1666666666666666,0.5818181818181818,0.3333333333333332,0,0,1.0,0.0,2.0,1.0,0.5833333333333333,0.5,0.6124338624338624,32,refactor module scalability
19,T0004,Send status update to manager,2025-07-24,Low,User_8,5.0,Delayed,Testing,In Progress,0.0,0.0,0.6666666666666665,0,0,5.0,1.0,1.0,0.0,0.1666666666666667,0.3,0.3776455026455027,0,send status update manager
20,synthetic_97578,Optimize CI/CD pipeline.,2025-08-02,Medium,user10,4.0,On Time,DevOps,To Do,0.6109318652044183,0.1454545454545454,0.0,0,1,2.0,1.0,1.0,0.0,0.4166666666666667,1.0,0.5221560846560847,8,optimize cicd pipeline
